Rxn name	Formula	Gene-reaction association	LB	UB	Objective
Tc2eC21016_c	C21016_c  <=> C21016_e 		-50.00	 50.00	  0.00
Tc2mC00109_c	C00109_c  <=> C00109_m 		-50.00	 50.00	  0.00
Tc2mC01335_c	C01335_c  <=> C01335_m 		-50.00	 50.00	  0.00
Tc2mC15498_c	C15498_c  <=> C15498_m 		-50.00	 50.00	  0.00
Tc2aC00058_c	C00058_c  <=> C00058_a 		-50.00	 50.00	  0.00
Tc2rC00009_c	C00009_c  <=> C00009_r 		-50.00	 50.00	  0.00
Tc2rC00019_c	C00019_c  <=> C00019_r 		-50.00	 50.00	  0.00
Tc2rC00021_c	C00021_c  <=> C00021_r 		-50.00	 50.00	  0.00
Tc2rC00242_c	C00242_c  <=> C00242_r 		-50.00	 50.00	  0.00
Tc2rC00195_c	C00195_c  <=> C00195_r 		-50.00	 50.00	  0.00
Tc2rC00319_c	C00319_c  <=> C00319_r 		-50.00	 50.00	  0.00
Tc2rC01449_c	C01449_c  <=> C01449_r 		-50.00	 50.00	  0.00
Tc2rC12126_c	C12126_c  <=> C12126_r 		-50.00	 50.00	  0.00
Tc2rC16675_c	C16675_c  <=> C16675_r 		-50.00	 50.00	  0.00
Tc2nC00011_c	C00011_c  <=> C00011_n 		-50.00	 50.00	  0.00
Tc2nC00013_c	C00013_c  <=> C00013_n 		-50.00	 50.00	  0.00
Tc2nC00073_c	C00073_c  <=> C00073_n 		-50.00	 50.00	  0.00
Tc2nC00101_c	C00101_c  <=> C00101_n 		-50.00	 50.00	  0.00
Tc2nC00170_c	C00170_c  <=> C00170_n 		-50.00	 50.00	  0.00
Tc2nC05691_c	C05691_c  <=> C05691_n 		-50.00	 50.00	  0.00
Tc2nC05692_c	C05692_c  <=> C05692_n 		-50.00	 50.00	  0.00
Tc2nC00440_c	C00440_c  <=> C00440_n 		-50.00	 50.00	  0.00
Tc2nC01573_c	C01573_c  <=> C01573_n 		-50.00	 50.00	  0.00
R03005_c	C00002_c + C01185_c  -> C00013_c + C00857_c 	PBANKA_1342800	  0.00	 50.00	  0.00
R03035_c	C00002_c + C01134_c  -> C00013_c + C00882_c 	putative_PBANKA_0802400	  0.00	 50.00	  0.00
Tc2eC00032_c	C00032_c  <=> C00032_e 		-50.00	 50.00	  0.00
Tc2mC00032_c	C00032_c  <=> C00032_m 		-50.00	 50.00	  0.00
R02058_c	C00024_c + C00352_c  <=> C00010_c + C00080_c + C00357_c 	PBANKA_1127600	-50.00	 50.00	  0.00
R00291_c	C00029_c  <=> C00052_c 		-50.00	 50.00	  0.00
Tc2aC00129_c	C00129_c + C00009_a  <=> C00009_c + C00129_a 		-50.00	  0.00	  0.00
R00570_a	C00002_a + C00112_a  <=> C00008_a + C00063_a 		-50.00	 50.00	  0.00
R00512_a	C00002_a + C00055_a  <=> C00008_a + C00112_a 		-50.00	 50.00	  0.00
R00512_r	C00002_r + C00055_r  <=> C00008_r + C00112_r 		-50.00	 50.00	  0.00
R00570_r	C00002_r + C00112_r  <=> C00008_r + C00063_r 		-50.00	 50.00	  0.00
R01891_c	C00307_c + C00195_c  -> C00055_c + C00550_c 		  0.00	 50.00	  0.00
R02240_c	C00002_c + C00641_c  -> C00008_c + C00416_c 	putative_PBANKA_1334600	  0.00	 50.00	  0.00
Tc2aC05198_c	C05198_c  <=> C05198_a 		-50.00	 50.00	  0.00
Tc2eC17023_c	C17023_c  <=> C17023_e 		-50.00	 50.00	  0.00
Tc2eC05198_c	C05198_c  <=> C05198_e 		-50.00	 50.00	  0.00
Tc2eC00725_c	C00725_c  <=> C00725_e 		-50.00	 50.00	  0.00
Tc2mC00725_c	C00725_c  <=> C00725_m 		-50.00	 50.00	  0.00
Tc2mC16240_c	C16240_c  <=> C16240_m 		-50.00	 50.00	  0.00
R04986_m	C00080_m + C05809_m  -> C00011_m + C05810_m 		  0.00	 50.00	  0.00
R04989_m	C00005_m + C00007_m + C05812_m  -> C00001_m + C00006_m + C05813_m 	PBANKA_1028200	  0.00	 50.00	  0.00
R04990_m	C00019_m + C05813_m  <=> C00021_m + C00080_m + C05814_m 	PBANKA_0302700	-50.00	 50.00	  0.00
R05611_m	C00013_m + C04146_m  <=> C00129_m + C04216_m 	PBANKA_0106100	-50.00	 50.00	  0.00
R05615_m	C00156_m + C04146_m  <=> C00013_m + C05809_m 	PBANKA_0106100	-50.00	 50.00	  0.00
R06146_m	C00005_m + C00007_m + C05814_m  -> C00001_m + C00006_m + C05815_m 	PBANKA_1028200	  0.00	 50.00	  0.00
Tc2mC00156_c	C00156_c  <=> C00156_m 		-50.00	 50.00	  0.00
Tc2mC00129_c	C00129_c + C00009_m  <=> C00009_c + C00129_m 		-50.00	 50.00	  0.00
Tc2eC00156_c	C00156_c  <=> C00156_e 		-50.00	 50.00	  0.00
Tc2mC14818_c	C14818_c  <=> C14818_m 		-50.00	 50.00	  0.00
Tc2eC14818_c	C14818_c  <=> C14818_e 		-50.00	 50.00	  0.00
R03165_a	C01024_a  -> C00001_a + C01051_a 		  0.00	 50.00	  0.00
Tc2mC00430_c	C00430_c  <=> C00430_m 		-50.00	 50.00	  0.00
Tc2aC00430_c	C00430_c  <=> C00430_a 		-50.00	 50.00	  0.00
Tc2eC00430_c	C00430_c  <=> C00430_e 		-50.00	 50.00	  0.00
Tc2nC05198_c	C05198_c  <=> C05198_n 		-50.00	 50.00	  0.00
Tc2nC17023_c	C17023_c  <=> C17023_n 		-50.00	 50.00	  0.00
R04993_m	C00019_m + C05818_m  <=> C00021_m + C00828_m 	PBANKA_0302700	-50.00	 50.00	  0.00
R05617_m	C04146_m + C03657_m  -> C00011_m + C00013_m + C05818_m 	PBANKA_0106100	  0.00	 50.00	  0.00
R04150_c	C03160_c  <=> C00010_c + C03657_c 		-50.00	 50.00	  0.00
Tc2mC03657_c	C03657_c  <=> C03657_m 		-50.00	 50.00	  0.00
R04620_c	3 C00001_c + C04895_c  -> 3 C00009_c + 3 C00080_c + C04874_c 	putative_PBANKA_1441000 or putative_PBANKA_0813400	  0.00	 50.00	  0.00
R03504_c	C04874_c  <=> C01300_c + C00266_c 		-50.00	 50.00	  0.00
R01513_c	C00003_c + C00197_c  <=> C00004_c + C00080_c + C03232_c 		-50.00	 50.00	  0.00
R04173_c	C00026_c + C01005_c  <=> C00025_c + C03232_c 		-50.00	 50.00	  0.00
R00582_c	C00001_c + C01005_c  -> C00009_c + C00065_c + C00080_c 	putative_PBANKA_1035500	  0.00	 50.00	  0.00
R01268_c	C00001_c + C00153_c  -> C00014_c + C00253_c 	putative_PBANKA_1218000	  0.00	 50.00	  0.00
R01224_c	C00006_c + C00440_c  <=> C00005_c + C00080_c + C00143_c 		-50.00	 50.00	  0.00
R01655_c	C00001_c + C00445_c  -> C00080_c + C00234_c 	putative_PBANKA_1129500	  0.00	 50.00	  0.00
R10092_c	C00001_c + C00011_c  -> C00080_c + C00288_c 	putative_PBANKA_0909000	  0.00	 50.00	  0.00
R01800_r	C00065_r + C00269_r  -> C00055_r + C00080_r + C02737_r 		  0.00	 50.00	  0.00
R00650_c	C00019_c + C00155_c  <=> C00021_c + C00073_c + C00080_c 	putative_PBANKA_1448300	-50.00	 50.00	  0.00
R02250_c	C00001_c + C00422_c  -> C00080_c + C00162_c + C00641_c 	putative_PBANKA_1017500	  0.00	 50.00	  0.00
R01187_c	C00001_c + C04006_c  -> C00009_c + C00080_c + C00137_c 	PBANKA_0803200	  0.00	 50.00	  0.00
R08159_a	C00001_a + C05761_a  -> C00080_a + C00229_a + C06424_a 		  0.00	 50.00	  0.00
R01706_a	C00001_a + C05764_a  <=> C00229_a + C00249_a 		-50.00	 50.00	  0.00
R04014_a	C00001_a + C05223_a  -> C00080_a + C00229_a + C02679_a 		  0.00	 50.00	  0.00
R08163_a	C00001_a + C04088_a  -> C00229_a + C01530_a 		  0.00	 50.00	  0.00
R08176_r	C00001_r + C00510_r  -> C00010_r + C00080_r + C00712_r 		  0.00	 50.00	  0.00
