Rxn name	Formula	Gene-reaction association	LB	UB	Objective
EXCbothC05691_e	C05691_e  -> 		  0.00	 50.00	  0.00
EXCbothC05692_e	C05692_e  <=> 		 -0.00	 50.00	  0.00
EXCbothC05697_e	C05697_e  -> 		  0.00	 50.00	  0.00
EXCbothC05698_e	C05698_e  -> 		  0.00	 50.00	  0.00
EXCbothC05703_e	C05703_e  -> 		  0.00	 50.00	  0.00
EXCbothC05726_e	C05726_e  -> 		  0.00	 50.00	  0.00
EXCbothC05729_e	C05729_e  -> 		  0.00	 50.00	  0.00
EXCbothC05841_e	C05841_e  <=> 		-50.00	 50.00	  0.00
EXCbothC05946_e	C05946_e  -> 		  0.00	 50.00	  0.00
EXCbothC05947_e	C05947_e  -> 		  0.00	 50.00	  0.00
EXCbothC07648_e	C07648_e  -> 		  0.00	 50.00	  0.00
EXCbothC07649_e	C07649_e  -> 		  0.00	 50.00	  0.00
EXCbothC09332_e	C09332_e  -> 		  0.00	 50.00	  0.00
EXCbothC11355_e	C11355_e  -> 		  0.00	 50.00	  0.00
EXCbothC12205_e	C12205_e  -> 		  0.00	 50.00	  0.00
EXCbothC16565_e	C16565_e  -> 		  0.00	 50.00	  0.00
EXCbothC16614_e	C16614_e  -> 		  0.00	 50.00	  0.00
EXCbothC16633_e	C16633_e  -> 		  0.00	 50.00	  0.00
EXCbothC16663_e	C16663_e  -> 		  0.00	 50.00	  0.00
EXCbothC16664_e	C16664_e  -> 		  0.00	 50.00	  0.00
EXCbothC16681_e	C16681_e  -> 		  0.00	 50.00	  0.00
EXCbothC16682_e	C16682_e  -> 		  0.00	 50.00	  0.00
EXCbothC18902_e	C18902_e  -> 		  0.00	 50.00	  0.00
EXCbothC00109_e	C00109_e  -> 		  0.00	 50.00	  0.00
EXCbothC00153_e	C00153_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00330_e	C00330_e  <=> 		 -0.00	 50.00	  0.00
EXCbothC00387_e	C00387_e  <=> 		 -0.00	 50.00	  0.00
EXCbothC00475_e	C00475_e  <=> 		 -0.00	 50.00	  0.00
EXCbothC00526_e	C00526_e  -> 		  0.00	 50.00	  0.00
EXCbothC00881_e	C00881_e  -> 		  0.00	 50.00	  0.00
EXCbothC01762_e	C01762_e  <=> 		 -0.00	 50.00	  0.00
EXCbothC03150_e	C03150_e  <=> 		-50.00	 50.00	  0.00
EXCbothC05823_e	C05823_e  -> 		  0.00	 50.00	  0.00
EXCbothC05984_e	C05984_e  -> 		  0.00	 50.00	  0.00
EXCbothC11537_e	C11537_e  -> 		  0.00	 50.00	  0.00
EXCbothC12739_e	C12739_e  -> 		  0.00	 50.00	  0.00
EXCbothC15586_e	C15586_e  -> 		  0.00	 50.00	  0.00
EXCbothC15587_e	C15587_e  -> 		  0.00	 50.00	  0.00
EXCbothC16635_e	C16635_e  -> 		  0.00	 50.00	  0.00
EXCbothC20463_e	C20463_e  -> 		  0.00	 50.00	  0.00
EXCbothC00422_e	C00422_e  -> 		  0.00	 50.00	  0.00
EXCbothC00836_e	C00836_e  -> 		  0.00	 50.00	  0.00
EXCbothC02934_e	C02934_e  -> 		  0.00	 50.00	  0.00
EXCbothC01092_e	C01092_e  -> 		  0.00	 50.00	  0.00
EXCbothC03201_e	C03201_e  -> 		  0.00	 50.00	  0.00
EXCbothC03454_e	C03454_e  -> 		  0.00	 50.00	  0.00
EXCbothC03508_e	C03508_e  <=> 		-50.00	 50.00	  0.00
EXCbothC03820_e	C03820_e  -> 		  0.00	 50.00	  0.00
EXCbothC05781_e	C05781_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00187_e	C00187_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00712_e	C00712_e  <=> 		-50.00	 50.00	  0.00
EXCbothC01530_e	C01530_e  <=> 		-50.00	 50.00	  0.00
EXCbothC01595_e	C01595_e  <=> 		-50.00	 50.00	  0.00
EXCbothC06424_e	C06424_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00120_e	C00120_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00440_e	C00440_e  -> 		  0.00	 50.00	  0.00
EXCbothC06453_e	C06453_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00058_e	C00058_e  -> 		  0.00	 50.00	  0.00
EXCbothC00184_e	C00184_e  -> 		  0.00	 50.00	  0.00
EXCbothC00195_e	C00195_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00250_e	C00250_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00314_e	C00314_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00319_e	C00319_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00534_e	C00534_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00831_e	C00831_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00864_e	C00864_e  <=> 		-50.00	 50.00	  0.00
EXCbothC01335_e	C01335_e  -> 		  0.00	 50.00	  0.00
EXCbothC02763_e	C02763_e  -> 		  0.00	 50.00	  0.00
EXCbothC04079_e	C04079_e  <=> 		-50.00	 50.00	  0.00
EXCbothC05350_e	C05350_e  -> 		  0.00	 50.00	  0.00
EXCbothC12126_e	C12126_e  -> 		  0.00	 50.00	  0.00
EXCbothC15498_e	C15498_e  -> 		  0.00	 50.00	  0.00
EXCbothC00160_e	C00160_e  -> 		  0.00	 50.00	  0.00
EXCbothC00427_e	C00427_e  -> 		  0.00	 50.00	  0.00
EXCbothC00546_e	C00546_e  -> 		  0.00	 50.00	  0.00
EXCbothC00584_e	C00584_e  -> 		  0.00	 50.00	  0.00
EXCbothC00696_e	C00696_e  -> 		  0.00	 50.00	  0.00
EXCbothC00989_e	C00989_e  -> 		  0.00	 50.00	  0.00
EXCbothC01449_e	C01449_e  -> 		  0.00	 50.00	  0.00
EXCbothC01563_e	C01563_e  -> 		  0.00	 50.00	  0.00
EXCbothC02170_e	C02170_e  -> 		  0.00	 50.00	  0.00
EXCbothC02356_e	C02356_e  -> 		  0.00	 50.00	  0.00
EXCbothC02723_e	C02723_e  -> 		  0.00	 50.00	  0.00
EXCbothC16675_e	C16675_e  -> 		  0.00	 50.00	  0.00
EXCbothC21015_e	C21015_e  -> 		  0.00	 50.00	  0.00
EXCbothC21016_e	C21016_e  -> 		  0.00	 50.00	  0.00
EXCbothC00032_e	C00032_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00156_e	C00156_e  -> 		  0.00	 50.00	  0.00
EXCbothC00430_e	C00430_e  -> 		  0.00	 50.00	  0.00
EXCbothC00725_e	C00725_e  <=> 		-50.00	 50.00	  0.00
EXCbothC05198_e	C05198_e  <=> 		 -0.00	 50.00	  0.00
EXCbothC14818_e	C14818_e  <=> 		-50.00	 50.00	  0.00
EXCbothC17023_e	C17023_e  -> 		  0.00	 50.00	  0.00
EXCbothC03657_e	C03657_e  -> 		  0.00	 50.00	  0.00
EXCbothC00060_e	C00060_e  -> 		  0.00	 50.00	  0.00
EXCbothC00266_e	C00266_e  -> 		  0.00	 50.00	  0.00
EXCbothC00445_e	C00445_e  -> 		  0.00	 50.00	  0.00
EXCbothC00493_e	C00493_e  -> 		  0.00	 50.00	  0.00
EXCbothC00885_e	C00885_e  -> 		  0.00	 50.00	  0.00
EXCbothC00944_e	C00944_e  -> 		  0.00	 50.00	  0.00
EXCbothC02637_e	C02637_e  -> 		  0.00	 50.00	  0.00
EXCbothC03172_e	C03172_e  -> 		  0.00	 50.00	  0.00
EXCbothC04874_e	C04874_e  -> 		  0.00	 50.00	  0.00
EXCbothC05690_e	C05690_e  <=> 		-50.00	 50.00	  0.00
EXCbothC05817_e	C05817_e  -> 		  0.00	 50.00	  0.00
EXCbothC16519_e	C16519_e  -> 		  0.00	 50.00	  0.00
EXCbothC01279_e	C01279_e  -> 		  0.00	 50.00	  0.00
EXCbothC04294_e	C04294_e  -> 		  0.00	 50.00	  0.00
EXCbothC01019_e	C01019_e  <=> 		 -0.00	 50.00	  0.00
EXCbothC00984_e	C00984_e  <=> 		 -0.00	 50.00	  0.00
EXCbothC00029_e	C00029_e  <=> 		 -0.00	 50.00	  0.00
EXCbothC00043_e	C00043_e  <=> 		 -0.00	 50.00	  0.00
EXCbothC00096_e	C00096_e  <=> 		 -0.01	 50.00	  0.00
EXCbothC00042_e	C00042_e  -> 		  0.00	 50.00	  0.00
EXCbothC00272_e	C00272_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00334_e	C00334_e  -> 		  0.00	 50.00	  0.00
EXCbothC00536_e	C00536_e  -> 		  0.00	 50.00	  0.00
EXCbothC03684_e	C03684_e  -> 		  0.00	 50.00	  0.00
EXCbothC05650_e	C05650_e  -> 		  0.00	 50.00	  0.00
EXCbothC00327_e	C00327_e  -> 		  0.00	 50.00	  0.00
EXCbothC00533_e	C00533_e  -> 		  0.00	 50.00	  0.00
EXCbothC01134_e	C01134_e  -> 		  0.00	 50.00	  0.00
EXCbothbiomass_e	biomass  <=> 		-50.00	 50.00	  0.00
Tc2rC00249_c	C00249_c  <=> C00249_r 		-50.00	 50.00	  0.00
R01280_r	C00002_r + C00010_r + C00080_r + C00249_r  -> C00154_r + C00013_r + C00020_r 	PBANKA_1239900	  0.00	 50.00	  0.00
rat021526_r	C00004_r + C00007_r + C00080_r + C00712_r  -> 2 C00001_r + C00003_r + C01595_r 	PBANKA_1110700 and PBANKA_1143400	  0.00	 50.00	  0.00
Tc2rC01595_c	C01595_c  <=> C01595_r 		-50.00	 50.00	  0.00
